Month,Year,path_001,path_002,path_003,path_004,path_005,path_006,path_007,path_008,path_009,path_010,path_011,path_012,path_013,path_014,path_015,path_016,path_017,path_018,path_019,path_020,path_021,path_022,path_023,path_024,path_025,path_026,path_027,path_028,path_029,path_030,path_031,path_032,path_033,path_034,path_035,path_036,path_037,path_038,path_039,path_040,path_041,path_042,path_043,path_044,path_045,path_046,path_047,path_048,path_049,path_050,path_051,path_052,path_053,path_054,path_055,path_056,path_057,path_058,path_059,path_060,path_061,path_062,path_063,path_064,path_065,path_066,path_067,path_068,path_069,path_070,path_071,path_072,path_073,path_074,path_075,path_076,path_077,path_078,path_079,path_080,path_081,path_082,path_083,path_084,path_085,path_086,path_087,path_088,path_089,path_090,path_091,path_092,path_093,path_094,path_095,path_096,path_097,path_098,path_099,path_100
1,0.0833,0.066097,0.066097,0.066097,0.066097,0.066097,0.066097,0.066097,0.066097,0.066097,0.066097,0.066097,0.066097,0.066097,0.066097,0.066097,0.066097,0.066097,0.066097,0.066097,0.066097,0.066097,0.066097,0.066097,0.066097,0.066097,0.066097,0.066097,0.066097,0.066097,0.066097,0.066097,0.066097,0.066097,0.066097,0.066097,0.066097,0.066097,0.066097,0.066097,0.066097,0.066097,0.066097,0.066097,0.066097,0.066097,0.066097,0.066097,0.066097,0.066097,0.066097,0.066097,0.066097,0.066097,0.066097,0.066097,0.066097,0.066097,0.066097,0.066097,0.066097,0.066097,0.066097,0.066097,0.066097,0.066097,0.066097,0.066097,0.066097,0.066097,0.066097,0.066097,0.066097,0.066097,0.066097,0.066097,0.066097,0.066097,0.066097,0.066097,0.066097,0.066097,0.066097,0.066097,0.066097,0.066097,0.066097,0.066097,0.066097,0.066097,0.066097,0.066097,0.066097,0.066097,0.066097,0.066097,0.066097,0.066097,0.066097,0.066097,0.066097
2,0.1667,0.075919,0.072969,0.057366,0.071791,0.058535,0.071683,0.055928,0.072503,0.066405,0.062275,0.074768,0.066497,0.072962,0.070125,0.074454,0.063983,0.061293,0.075409,0.068260,0.058966,0.061483,0.082022,0.069007,0.063180,0.060401,0.064328,0.067765,0.057685,0.069410,0.057782,0.070316,0.066955,0.069685,0.056038,0.069667,0.064580,0.057756,0.067085,0.060009,0.056875,0.059797,0.071364,0.071023,0.066482,0.059725,0.061821,0.074856,0.071930,0.063881,0.072913,0.057804,0.059985,0.076547,0.060919,0.074898,0.061007,0.078704,0.060350,0.065733,0.070163,0.058629,0.065643,0.059991,0.062309,0.058860,0.068241,0.071333,0.058166,0.063966,0.074311,0.071103,0.053896,0.063288,0.069129,0.072438,0.067869,0.064426,0.076088,0.062931,0.075949,0.062145,0.065196,0.062690,0.078533,0.062705,0.067600,0.075986,0.065071,0.072938,0.077267,0.073211,0.061268,0.061549,0.065658,0.073305,0.070698,0.058565,0.060807,0.068353,0.060029
3,0.2500,0.075445,0.070651,0.057461,0.067352,0.047859,0.074964,0.064921,0.084592,0.066434,0.060399,0.070333,0.074837,0.080086,0.069893,0.067416,0.055137,0.064599,0.066679,0.067004,0.055502,0.057769,0.077528,0.076528,0.059658,0.056626,0.062206,0.067961,0.065899,0.073130,0.065610,0.076533,0.072691,0.077638,0.058680,0.061773,0.066056,0.068975,0.072821,0.055032,0.058424,0.068367,0.075526,0.075180,0.071982,0.062485,0.068184,0.076956,0.077839,0.056399,0.081174,0.058094,0.061811,0.076345,0.064762,0.094174,0.058439,0.067188,0.052413,0.065650,0.072379,0.062081,0.058532,0.055013,0.062457,0.064702,0.079886,0.067524,0.065411,0.065095,0.079304,0.075902,0.056656,0.057333,0.073330,0.077571,0.070186,0.064189,0.066184,0.059812,0.066477,0.057330,0.060154,0.056581,0.074636,0.070696,0.066025,0.063267,0.060052,0.080055,0.074987,0.063816,0.058036,0.058283,0.060716,0.069862,0.063984,0.057040,0.056448,0.077913,0.054354
4,0.3333,0.076487,0.076621,0.069033,0.066688,0.055618,0.071774,0.053514,0.072106,0.070788,0.057959,0.079590,0.079053,0.072197,0.070270,0.064075,0.056094,0.063887,0.061415,0.050947,0.055552,0.056480,0.070190,0.069180,0.055502,0.054514,0.061088,0.060155,0.065920,0.065214,0.067797,0.088394,0.073824,0.086027,0.060088,0.065206,0.054378,0.062032,0.093832,0.056305,0.061284,0.078773,0.066903,0.092997,0.083586,0.061420,0.081021,0.067547,0.087457,0.062349,0.084505,0.057319,0.057226,0.063168,0.065350,0.079064,0.060838,0.082542,0.060574,0.061648,0.075571,0.055280,0.055618,0.060500,0.062086,0.068032,0.078315,0.068235,0.071070,0.087343,0.079160,0.077726,0.062158,0.063034,0.079237,0.080838,0.071465,0.072631,0.066111,0.066829,0.064293,0.050429,0.059238,0.051616,0.072718,0.066837,0.081064,0.070335,0.047968,0.077993,0.071229,0.055799,0.065143,0.048324,0.052925,0.071062,0.054405,0.064529,0.050890,0.069964,0.052422
5,0.4167,0.067831,0.078475,0.063489,0.066216,0.044474,0.074916,0.062086,0.072265,0.066755,0.061632,0.087724,0.076706,0.074028,0.060498,0.063135,0.058112,0.070832,0.061569,0.052591,0.060252,0.058504,0.078948,0.061864,0.055067,0.060641,0.070336,0.051906,0.071084,0.062601,0.067564,0.076730,0.062848,0.087165,0.067385,0.057287,0.056765,0.064639,0.093264,0.053084,0.054925,0.086776,0.064020,0.113217,0.078957,0.059524,0.076479,0.066673,0.088552,0.067188,0.079276,0.064221,0.055953,0.068627,0.065769,0.102998,0.058391,0.070226,0.060407,0.065240,0.070758,0.050724,0.057131,0.059046,0.072146,0.069019,0.075306,0.061570,0.070835,0.084136,0.072460,0.074762,0.055651,0.070483,0.079874,0.071970,0.061988,0.085408,0.061361,0.069624,0.064467,0.057117,0.069344,0.051004,0.064640,0.076477,0.077245,0.067383,0.048182,0.083242,0.080105,0.051201,0.068045,0.041360,0.055645,0.073394,0.057287,0.065322,0.050322,0.064825,0.055445
6,0.5000,0.069796,0.073819,0.073217,0.058223,0.050014,0.082940,0.055784,0.076640,0.064878,0.059969,0.095867,0.075823,0.069091,0.058122,0.062822,0.050741,0.083792,0.060629,0.055762,0.055029,0.051214,0.098485,0.074028,0.060153,0.061640,0.060322,0.057538,0.078600,0.064325,0.080570,0.079330,0.078622,0.090141,0.075442,0.056619,0.056858,0.060512,0.094849,0.061465,0.052988,0.084875,0.064686,0.123105,0.072968,0.063521,0.080300,0.066661,0.089906,0.058911,0.069055,0.062415,0.059168,0.059627,0.075100,0.089152,0.053221,0.078689,0.057143,0.067088,0.072770,0.047076,0.057710,0.063034,0.075241,0.069328,0.087632,0.052746,0.071937,0.078728,0.079885,0.086687,0.046059,0.059010,0.072540,0.070707,0.072320,0.076070,0.055841,0.067673,0.054610,0.055378,0.055825,0.049543,0.057983,0.077411,0.077059,0.072083,0.047493,0.070920,0.083357,0.052162,0.067292,0.038877,0.059820,0.068546,0.054774,0.065294,0.049652,0.074161,0.063072
7,0.5833,0.067077,0.072150,0.082679,0.066405,0.048691,0.081624,0.050209,0.075316,0.061677,0.064131,0.100658,0.097089,0.071088,0.059724,0.060600,0.049514,0.085415,0.063253,0.056119,0.058498,0.054034,0.081802,0.070560,0.059293,0.061344,0.065754,0.058952,0.078946,0.073067,0.072914,0.079850,0.067357,0.085071,0.068559,0.058792,0.058392,0.057943,0.111963,0.058652,0.053112,0.095336,0.058657,0.130284,0.086661,0.050406,0.097425,0.059695,0.079456,0.060282,0.058464,0.064857,0.060427,0.053345,0.065506,0.091988,0.053951,0.088668,0.058040,0.070618,0.067845,0.045242,0.046568,0.061289,0.073046,0.071931,0.090145,0.051847,0.068805,0.078131,0.074684,0.081487,0.053855,0.061728,0.073612,0.071023,0.066154,0.074068,0.055590,0.059706,0.059827,0.055024,0.064590,0.052034,0.063478,0.074280,0.074827,0.075447,0.041666,0.074473,0.083089,0.047268,0.074462,0.037333,0.051201,0.088256,0.046440,0.073086,0.055276,0.072331,0.074742
8,0.6667,0.062470,0.077506,0.102556,0.071211,0.048223,0.093227,0.050745,0.082513,0.060074,0.066997,0.095209,0.078300,0.057976,0.056860,0.058008,0.044290,0.077262,0.063896,0.050859,0.061265,0.049066,0.071164,0.069486,0.064515,0.056549,0.078768,0.069413,0.081632,0.081943,0.070962,0.068131,0.067347,0.096526,0.071226,0.061851,0.055650,0.065939,0.107058,0.063580,0.055395,0.078550,0.063674,0.134091,0.085815,0.051695,0.101424,0.064428,0.084134,0.057681,0.050293,0.069668,0.056505,0.044565,0.061161,0.093030,0.048124,0.087537,0.053417,0.072564,0.064908,0.047308,0.055990,0.075380,0.076977,0.075326,0.103354,0.056673,0.068071,0.087310,0.071092,0.091085,0.061217,0.062625,0.067412,0.077441,0.055682,0.062696,0.053928,0.053744,0.061370,0.063852,0.064573,0.046776,0.061153,0.070387,0.078818,0.065944,0.043105,0.068424,0.079225,0.055834,0.068313,0.036587,0.051619,0.085666,0.044955,0.067501,0.052520,0.075787,0.088486
9,0.7500,0.053393,0.077469,0.090945,0.063980,0.053752,0.084850,0.053550,0.103741,0.070721,0.067040,0.081818,0.079536,0.054478,0.056227,0.063220,0.042459,0.068842,0.073424,0.055536,0.059391,0.048898,0.063125,0.059730,0.064473,0.067881,0.085541,0.069924,0.084024,0.072973,0.071349,0.070665,0.063483,0.107729,0.068374,0.056864,0.054988,0.069038,0.092624,0.062622,0.060894,0.082853,0.079867,0.129046,0.097544,0.052415,0.104387,0.060429,0.079867,0.054696,0.059060,0.082538,0.056514,0.049125,0.067959,0.081948,0.052115,0.082266,0.044145,0.061549,0.064846,0.053824,0.055187,0.080692,0.077903,0.068794,0.109122,0.063184,0.059395,0.078985,0.073434,0.091433,0.068926,0.072989,0.067436,0.064060,0.051747,0.062234,0.052560,0.059741,0.061033,0.061607,0.068504,0.042878,0.063603,0.076947,0.079848,0.063003,0.048396,0.069476,0.071529,0.053219,0.054975,0.037578,0.046365,0.084289,0.043940,0.072097,0.054987,0.080318,0.073888
10,0.8333,0.053086,0.081458,0.093463,0.054858,0.059293,0.072905,0.054881,0.111427,0.074865,0.064959,0.086032,0.090473,0.051210,0.053685,0.060093,0.043388,0.068522,0.078319,0.053253,0.066328,0.049566,0.060326,0.061356,0.060343,0.070120,0.084788,0.071059,0.091072,0.066809,0.084613,0.080213,0.065235,0.105640,0.067177,0.049739,0.055476,0.069287,0.081226,0.066593,0.056452,0.080062,0.070524,0.127075,0.121989,0.059072,0.120449,0.059115,0.077841,0.051059,0.060270,0.083065,0.054003,0.048015,0.080037,0.073593,0.059795,0.080016,0.041779,0.058311,0.066908,0.051499,0.049324,0.086575,0.082003,0.072504,0.106086,0.063460,0.055944,0.082769,0.065533,0.089954,0.072240,0.070942,0.072191,0.062053,0.052137,0.061264,0.049051,0.065058,0.052228,0.054754,0.066624,0.043529,0.064704,0.089566,0.079052,0.062770,0.054182,0.065273,0.077553,0.054857,0.061705,0.037990,0.039076,0.073847,0.039444,0.073779,0.056271,0.086853,0.072301
