Month,Year,path_001,path_002,path_003,path_004,path_005,path_006,path_007,path_008,path_009,path_010,path_011,path_012,path_013,path_014,path_015,path_016,path_017,path_018,path_019,path_020,path_021,path_022,path_023,path_024,path_025,path_026,path_027,path_028,path_029,path_030,path_031,path_032,path_033,path_034,path_035,path_036,path_037,path_038,path_039,path_040,path_041,path_042,path_043,path_044,path_045,path_046,path_047,path_048,path_049,path_050,path_051,path_052,path_053,path_054,path_055,path_056,path_057,path_058,path_059,path_060,path_061,path_062,path_063,path_064,path_065,path_066,path_067,path_068,path_069,path_070,path_071,path_072,path_073,path_074,path_075,path_076,path_077,path_078,path_079,path_080,path_081,path_082,path_083,path_084,path_085,path_086,path_087,path_088,path_089,path_090,path_091,path_092,path_093,path_094,path_095,path_096,path_097,path_098,path_099,path_100
1,0.0833,0.040189,0.039145,0.032565,0.038713,0.033132,0.038673,0.031847,0.038975,0.036616,0.034857,0.039788,0.036653,0.039142,0.038086,0.039677,0.035602,0.034417,0.040012,0.037361,0.033338,0.034503,0.042195,0.037655,0.035254,0.034010,0.035749,0.037165,0.032721,0.037811,0.032769,0.038159,0.036840,0.037917,0.031903,0.037910,0.035856,0.032756,0.036892,0.033828,0.032322,0.033730,0.038554,0.038426,0.036647,0.033696,0.034655,0.039819,0.038764,0.035558,0.039124,0.032779,0.033817,0.040405,0.034247,0.039833,0.034287,0.041129,0.033986,0.036339,0.038101,0.033178,0.036302,0.033820,0.034872,0.033288,0.037354,0.038542,0.032955,0.035594,0.039626,0.038456,0.030791,0.035302,0.037702,0.038951,0.037207,0.035791,0.040247,0.035146,0.040200,0.034799,0.036115,0.035040,0.041073,0.035047,0.037099,0.040212,0.036063,0.039133,0.040650,0.039233,0.034406,0.034533,0.036308,0.039266,0.038304,0.033147,0.034196,0.037398,0.033837
2,0.1667,0.038225,0.037091,0.032528,0.039441,0.035980,0.037287,0.033180,0.040271,0.039970,0.034025,0.037700,0.038178,0.042781,0.036819,0.035515,0.036172,0.031497,0.038620,0.039666,0.032149,0.033505,0.042683,0.036989,0.030650,0.032483,0.033203,0.039847,0.036575,0.035026,0.032855,0.034074,0.037997,0.033242,0.029697,0.038008,0.037743,0.032965,0.036899,0.035966,0.029921,0.034245,0.040368,0.038959,0.036913,0.033306,0.034260,0.039461,0.035928,0.036276,0.043550,0.034726,0.035858,0.040435,0.033516,0.036969,0.035662,0.039779,0.032691,0.032990,0.038929,0.035250,0.034774,0.030205,0.036130,0.037435,0.036777,0.041475,0.034333,0.033292,0.040817,0.039452,0.030302,0.035959,0.042332,0.040481,0.039755,0.033112,0.036374,0.037924,0.040106,0.038880,0.034953,0.039717,0.043297,0.034943,0.035207,0.039996,0.036050,0.036983,0.043070,0.038709,0.032595,0.033996,0.036036,0.039653,0.038693,0.033496,0.037021,0.036672,0.029446
3,0.2500,0.038075,0.036248,0.032588,0.037740,0.030182,0.038484,0.037351,0.044299,0.039995,0.033190,0.036094,0.041355,0.045242,0.036744,0.032887,0.032022,0.032954,0.035353,0.039176,0.030455,0.031778,0.041239,0.039745,0.029080,0.030686,0.032296,0.039939,0.040288,0.036429,0.036388,0.036321,0.040217,0.036100,0.031006,0.034744,0.038374,0.037865,0.039112,0.033533,0.030688,0.037934,0.041884,0.040480,0.039064,0.034572,0.036949,0.040200,0.038014,0.032813,0.046380,0.034880,0.036705,0.040380,0.035214,0.042809,0.034473,0.035602,0.028712,0.032969,0.039773,0.036859,0.031620,0.027784,0.036208,0.040078,0.040950,0.040011,0.037600,0.033783,0.042533,0.041195,0.031736,0.033218,0.043926,0.042299,0.040673,0.033025,0.032679,0.036524,0.036565,0.036632,0.032748,0.036852,0.041976,0.038212,0.034581,0.035090,0.033848,0.039428,0.042297,0.035021,0.031097,0.032488,0.033895,0.038384,0.036004,0.032766,0.034941,0.040152,0.026666
4,0.3333,0.040737,0.037877,0.032720,0.038617,0.025611,0.041709,0.037980,0.045383,0.039926,0.035654,0.036426,0.043371,0.049830,0.034362,0.035246,0.030285,0.036273,0.039451,0.039911,0.028390,0.031825,0.041242,0.039090,0.028453,0.030914,0.034072,0.040241,0.044985,0.032701,0.037124,0.033263,0.036808,0.033289,0.033796,0.039601,0.042361,0.035007,0.035829,0.032131,0.031903,0.038831,0.043882,0.043463,0.034191,0.035363,0.036141,0.040577,0.037808,0.030725,0.044475,0.032287,0.035131,0.040301,0.034394,0.047512,0.031324,0.035029,0.027699,0.033092,0.037353,0.036581,0.029681,0.023346,0.038650,0.037762,0.042759,0.036734,0.033564,0.033107,0.044681,0.041203,0.031787,0.033923,0.044617,0.042123,0.038940,0.032779,0.028091,0.040319,0.035884,0.039754,0.036199,0.039727,0.039218,0.033415,0.030679,0.038002,0.037178,0.040894,0.041125,0.034181,0.029177,0.029590,0.038821,0.037645,0.036866,0.032446,0.035200,0.042314,0.028593
5,0.4167,0.041151,0.040075,0.037827,0.038401,0.030005,0.040609,0.032610,0.041271,0.041695,0.034551,0.039729,0.044862,0.047143,0.034558,0.033917,0.030826,0.036022,0.037242,0.032248,0.028467,0.031241,0.038666,0.036470,0.026480,0.029887,0.033623,0.036937,0.045047,0.029693,0.038068,0.036988,0.037270,0.035961,0.034512,0.041148,0.036956,0.032173,0.042358,0.032834,0.033287,0.042639,0.040688,0.048968,0.038123,0.034940,0.040738,0.037162,0.040840,0.033579,0.045561,0.031961,0.033029,0.035266,0.034694,0.043128,0.032498,0.040497,0.031842,0.031422,0.038545,0.033372,0.028296,0.026055,0.038537,0.039182,0.042297,0.037070,0.035850,0.040861,0.044688,0.041878,0.034430,0.036622,0.046711,0.043248,0.039477,0.036155,0.028114,0.043444,0.035026,0.036104,0.035822,0.037131,0.038584,0.031964,0.036136,0.040937,0.030766,0.040271,0.039814,0.030488,0.032420,0.024270,0.034971,0.038154,0.032370,0.035929,0.032269,0.039521,0.027608
6,0.5000,0.039418,0.042231,0.038335,0.042267,0.027524,0.041848,0.031257,0.043052,0.042182,0.035137,0.042289,0.044468,0.050432,0.038927,0.031275,0.031889,0.035310,0.038540,0.030057,0.030578,0.029944,0.036329,0.039956,0.028409,0.028106,0.032374,0.039274,0.049687,0.024437,0.039633,0.038845,0.034041,0.035781,0.034447,0.036843,0.037837,0.030788,0.044280,0.032795,0.030781,0.043830,0.040214,0.048113,0.035623,0.034889,0.038403,0.035966,0.039738,0.035275,0.046104,0.033796,0.031006,0.034875,0.030971,0.045763,0.031386,0.041977,0.030195,0.031055,0.038072,0.030949,0.028798,0.022957,0.034285,0.041959,0.041339,0.037899,0.034671,0.043192,0.042664,0.043306,0.036877,0.033261,0.044863,0.045171,0.040850,0.033939,0.023683,0.048914,0.033583,0.034367,0.039172,0.037426,0.038764,0.036364,0.035372,0.042452,0.028983,0.040426,0.042459,0.029427,0.033005,0.025220,0.037585,0.038320,0.034807,0.037241,0.033478,0.037934,0.027189
7,0.5833,0.036343,0.042974,0.036174,0.042190,0.021132,0.043103,0.035562,0.043228,0.040714,0.036973,0.044895,0.043798,0.051222,0.034952,0.030986,0.033003,0.038221,0.038726,0.031091,0.032978,0.031050,0.039542,0.037017,0.028301,0.031215,0.036327,0.035180,0.051865,0.023442,0.039657,0.035350,0.029835,0.036228,0.037714,0.033362,0.039182,0.032033,0.044247,0.031227,0.027826,0.046434,0.039125,0.052993,0.034282,0.034132,0.037027,0.035730,0.040168,0.037437,0.044575,0.037079,0.030485,0.037248,0.031260,0.052527,0.030357,0.037861,0.030234,0.032723,0.036449,0.028590,0.029672,0.022400,0.038472,0.042467,0.040432,0.035203,0.034699,0.042361,0.040457,0.042403,0.033887,0.036404,0.045189,0.042235,0.037095,0.038244,0.021775,0.050151,0.033773,0.038074,0.043633,0.037193,0.035708,0.040070,0.034245,0.041410,0.029228,0.042223,0.045673,0.027078,0.034302,0.020680,0.039145,0.039296,0.036395,0.037692,0.033265,0.035985,0.028906
8,0.6667,0.034122,0.043197,0.034514,0.041956,0.023314,0.042481,0.037379,0.045515,0.045030,0.037224,0.046126,0.043089,0.049157,0.032404,0.028997,0.036730,0.035064,0.036214,0.030360,0.029605,0.030328,0.041176,0.037601,0.024535,0.026932,0.036421,0.033483,0.051089,0.020788,0.038098,0.038299,0.025686,0.036892,0.035985,0.029931,0.035928,0.034750,0.045622,0.030587,0.028039,0.043311,0.040112,0.051641,0.030340,0.034666,0.041904,0.034527,0.041243,0.037235,0.045461,0.039571,0.030528,0.039177,0.031755,0.050551,0.031235,0.036307,0.028243,0.028721,0.036462,0.027643,0.030634,0.024673,0.041301,0.044749,0.036956,0.038625,0.037473,0.043367,0.044133,0.043399,0.032529,0.036085,0.049300,0.046850,0.037265,0.040215,0.022790,0.053151,0.035590,0.035389,0.048122,0.036794,0.037702,0.043802,0.037759,0.038941,0.028138,0.043137,0.045722,0.030415,0.033584,0.022254,0.043387,0.039025,0.031806,0.039164,0.032461,0.036451,0.028296
9,0.7500,0.035055,0.041757,0.038525,0.038546,0.026943,0.045297,0.034537,0.047243,0.044414,0.036628,0.048510,0.042952,0.047468,0.031449,0.029025,0.033001,0.039607,0.035951,0.032200,0.027224,0.026703,0.046911,0.042636,0.027172,0.027547,0.032399,0.036600,0.053937,0.021688,0.042922,0.039331,0.031792,0.037897,0.039160,0.029764,0.036139,0.033096,0.046207,0.034893,0.027178,0.042917,0.040563,0.053754,0.028457,0.036635,0.043342,0.034687,0.041790,0.033777,0.041967,0.038950,0.032266,0.035479,0.035457,0.047157,0.028770,0.039470,0.026858,0.029640,0.037373,0.025618,0.031083,0.026638,0.042582,0.045038,0.041015,0.034401,0.038051,0.041823,0.046870,0.047401,0.027184,0.031396,0.046923,0.046542,0.041623,0.037401,0.020336,0.052543,0.031113,0.034675,0.042235,0.036105,0.034845,0.044288,0.037862,0.040920,0.027876,0.039112,0.046917,0.031118,0.033450,0.020514,0.045615,0.037366,0.030698,0.039319,0.032233,0.040235,0.032058
10,0.8333,0.034072,0.044422,0.036358,0.037020,0.025642,0.047424,0.031908,0.045015,0.045635,0.035280,0.048194,0.040130,0.049440,0.034086,0.031431,0.037576,0.035583,0.035566,0.034903,0.022868,0.029697,0.044482,0.047218,0.027817,0.025522,0.032887,0.039498,0.054210,0.023345,0.043431,0.039588,0.029029,0.037646,0.039889,0.028966,0.040308,0.031383,0.042628,0.037920,0.027022,0.041006,0.040486,0.052431,0.023297,0.033395,0.046978,0.037549,0.045240,0.036564,0.044420,0.040304,0.029994,0.038009,0.037346,0.048854,0.027042,0.042486,0.029410,0.028800,0.039090,0.026288,0.034245,0.025069,0.040290,0.042967,0.036790,0.038786,0.038803,0.039469,0.051699,0.044724,0.029936,0.027244,0.046635,0.048977,0.041497,0.034873,0.020431,0.051209,0.030972,0.034784,0.045402,0.036720,0.034484,0.045466,0.034068,0.043016,0.031767,0.036447,0.047445,0.033374,0.033891,0.022156,0.051258,0.040985,0.027480,0.036817,0.029189,0.037802,0.029997
