Month,Year,DF_market,DF_corrected,DF_uncorrected,err_corr_bp,err_uncorr_bp
1,0.0833,0.99695927,0.99695927,0.99695928,+0.000000,+0.000055
2,0.1667,0.99392548,0.99392548,0.99392669,-0.000000,+0.012104
3,0.2500,0.99089860,0.99089860,0.99090107,-0.000000,+0.024733
4,0.3333,0.98789765,0.98789765,0.98789198,-0.000000,-0.056715
5,0.4167,0.98491298,0.98491298,0.98490409,+0.000000,-0.088977
6,0.5000,0.98194450,0.98194450,0.98193255,-0.000000,-0.119475
7,0.5833,0.97902467,0.97902467,0.97899364,-0.000000,-0.310271
8,0.6667,0.97612992,0.97612992,0.97609181,-0.000000,-0.381107
9,0.7500,0.97326009,0.97326009,0.97321527,+0.000000,-0.448209
10,0.8333,0.97041500,0.97041500,0.97036386,+0.000000,-0.511412
11,0.9167,0.96759448,0.96759448,0.96753743,-0.000000,-0.570466
12,1.0000,0.96479837,0.96479837,0.96473578,-0.000000,-0.625901
13,1.0833,0.96187527,0.96187527,0.96188304,-0.000000,+0.077649
14,1.1667,0.95895395,0.95895395,0.95896808,+0.000000,+0.141316
15,1.2500,0.95603444,0.95603444,0.95605514,-0.000000,+0.206935
16,1.3333,0.95311678,0.95311678,0.95314449,-0.000000,+0.277012
17,1.4167,0.95020101,0.95020101,0.95023628,+0.000000,+0.352687
18,1.5000,0.94728717,0.94728717,0.94733039,-0.000000,+0.432241
19,1.5833,0.94437528,0.94437528,0.94442702,+0.000000,+0.517425
20,1.6667,0.94146539,0.94146539,0.94152630,-0.000000,+0.609091
21,1.7500,0.93855754,0.93855754,0.93862820,+0.000000,+0.706546
22,1.8333,0.93565176,0.93565176,0.93573295,-0.000000,+0.811877
23,1.9167,0.93274809,0.93274809,0.93284054,-0.000000,+0.924470
24,2.0000,0.92984656,0.92984656,0.92995089,+0.000000,+1.043292
25,2.0833,0.92703004,0.92703004,0.92710569,+0.000000,+0.756484
26,2.1667,0.92422183,0.92422183,0.92430818,+0.000000,+0.863558
27,2.2500,0.92142190,0.92142190,0.92152011,-0.000000,+0.982109
28,2.3333,0.91863024,0.91863024,0.91874131,+0.000000,+1.110713
29,2.4167,0.91584682,0.91584682,0.91597147,-0.000000,+1.246430
30,2.5000,0.91307162,0.91307162,0.91321065,-0.000000,+1.390250
31,2.5833,0.91030462,0.91030462,0.91045919,-0.000000,+1.545767
32,2.6667,0.90754578,0.90754578,0.90771685,+0.000000,+1.710752
33,2.7500,0.90479509,0.90479509,0.90498356,-0.000000,+1.884675
34,2.8333,0.90205252,0.90205252,0.90225900,+0.000000,+2.064771
35,2.9167,0.89931805,0.89931805,0.89954394,+0.000000,+2.258822
36,3.0000,0.89659166,0.89659166,0.89683843,-0.000000,+2.467695
37,3.0833,0.89410130,0.89410130,0.89425536,+0.000000,+1.540552
38,3.1667,0.89162994,0.89162994,0.89179992,-0.000000,+1.699811
39,3.2500,0.88917745,0.88917745,0.88936473,+0.000000,+1.872841
40,3.3333,0.88674372,0.88674372,0.88695002,+0.000000,+2.063012
41,3.4167,0.88432863,0.88432863,0.88455583,-0.000000,+2.271980
42,3.5000,0.88193207,0.88193207,0.88218226,+0.000000,+2.501897
