Month,Year,DF_market,DF_corrected,DF_uncorrected,err_corr_bp,err_uncorr_bp
75,6.2500,0.79614559,0.79614559,0.79842799,+0.000000,+22.823997
76,6.3333,0.79350118,0.79350118,0.79586836,+0.000000,+23.671731
77,6.4167,0.79085958,0.79085958,0.79331368,+0.000000,+24.541033
78,6.5000,0.78822080,0.78822080,0.79076386,+0.000000,+25.430625
79,6.5833,0.78558489,0.78558489,0.78821829,-0.000000,+26.334002
80,6.6667,0.78295187,0.78295187,0.78567602,+0.000000,+27.241451
81,6.7500,0.78032177,0.78032177,0.78313776,+0.000000,+28.159875
82,6.8333,0.77769463,0.77769463,0.78060348,+0.000000,+29.088505
83,6.9167,0.77507047,0.77507047,0.77807228,+0.000000,+30.018102
84,7.0000,0.77244932,0.77244932,0.77554533,-0.000000,+30.960046
85,7.0833,0.76999123,0.76999123,0.77310367,+0.000000,+31.124408
86,7.1667,0.76753890,0.76753890,0.77074816,+0.000000,+32.092675
87,7.2500,0.76509233,0.76509233,0.76840061,+0.000000,+33.082789
88,7.3333,0.76265153,0.76265153,0.76606114,-0.000000,+34.096049
89,7.4167,0.76021648,0.76021648,0.76372935,+0.000000,+35.128644
90,7.5000,0.75778718,0.75778718,0.76140565,+0.000000,+36.184701
91,7.5833,0.75536363,0.75536363,0.75908906,+0.000000,+37.254380
92,7.6667,0.75294581,0.75294581,0.75677899,-0.000000,+38.331829
93,7.7500,0.75053372,0.75053372,0.75447580,+0.000000,+39.420752
94,7.8333,0.74812737,0.74812737,0.75217915,-0.000000,+40.517799
95,7.9167,0.74572673,0.74572673,0.74988916,+0.000000,+41.624317
96,8.0000,0.74333181,0.74333181,0.74760502,+0.000000,+42.732112
97,8.0833,0.74094260,0.74094260,0.74532634,+0.000000,+43.837396
98,8.1667,0.73855910,0.73855910,0.74305434,-0.000000,+44.952473
99,8.2500,0.73618129,0.73618129,0.74079000,+0.000000,+46.087102
100,8.3333,0.73380918,0.73380918,0.73853244,-0.000000,+47.232579
101,8.4167,0.73144276,0.73144276,0.73628216,-0.000000,+48.393976
102,8.5000,0.72908202,0.72908202,0.73403994,-0.000000,+49.579198
103,8.5833,0.72672696,0.72672696,0.73180413,-0.000000,+50.771760
104,8.6667,0.72437756,0.72437756,0.72957571,-0.000000,+51.981434
105,8.7500,0.72203384,0.72203384,0.72735374,+0.000000,+53.199037
106,8.8333,0.71969577,0.71969577,0.72513675,+0.000000,+54.409859
107,8.9167,0.71736335,0.71736335,0.72292652,-0.000000,+55.631667
108,9.0000,0.71503658,0.71503658,0.72072240,+0.000000,+56.858190
109,9.0833,0.71271546,0.71271546,0.71852497,+0.000000,+58.095067
110,9.1667,0.71039997,0.71039997,0.71633524,-0.000000,+59.352669
111,9.2500,0.70809011,0.70809011,0.71415279,+0.000000,+60.626851
112,9.3333,0.70578587,0.70578587,0.71197895,-0.000000,+61.930774
113,9.4167,0.70348725,0.70348725,0.70981378,-0.000000,+63.265247
114,9.5000,0.70119425,0.70119425,0.70765680,+0.000000,+64.625528
115,9.5833,0.69890685,0.69890685,0.70550681,+0.000000,+65.999625
116,9.6667,0.69662504,0.69662504,0.70336311,+0.000000,+67.380690
117,9.7500,0.69434884,0.69434884,0.70122688,+0.000000,+68.780434
118,9.8333,0.69207822,0.69207822,0.69909847,+0.000000,+70.202574
119,9.9167,0.68981318,0.68981318,0.69697790,+0.000000,+71.647209
120,10.0000,0.68755371,0.68755371,0.69486479,+0.000000,+73.110807
121,10.0833,0.68537918,0.68537918,0.69279849,+0.000000,+74.193138
122,10.1667,0.68321100,0.68321100,0.69077867,+0.000000,+75.676674
123,10.2500,0.68104917,0.68104917,0.68876643,+0.000000,+77.172556
124,10.3333,0.67889366,0.67889366,0.68676290,+0.000000,+78.692406
125,10.4167,0.67674446,0.67674446,0.68476743,+0.000000,+80.229641
126,10.5000,0.67460155,0.67460155,0.68277951,-0.000000,+81.779560
127,10.5833,0.67246492,0.67246492,0.68079925,+0.000000,+83.343285
128,10.6667,0.67033455,0.67033455,0.67882673,+0.000000,+84.921812
129,10.7500,0.66821041,0.66821041,0.67686240,+0.000000,+86.519858
130,10.8333,0.66609251,0.66609251,0.67490661,+0.000000,+88.141062
131,10.9167,0.66398081,0.66398081,0.67295960,+0.000000,+89.787953
132,11.0000,0.66187530,0.66187530,0.67102131,+0.000000,+91.460097
133,11.0833,0.65977597,0.65977597,0.66909145,+0.000000,+93.154823
134,11.1667,0.65768280,0.65768280,0.66716897,+0.000000,+94.861663
135,11.2500,0.65559577,0.65559577,0.66525251,+0.000000,+96.567348
136,11.3333,0.65351487,0.65351487,0.66334223,-0.000000,+98.273603
137,11.4167,0.65144008,0.65144008,0.66143888,-0.000000,+99.987996
138,11.5000,0.64937138,0.64937138,0.65954250,-0.000000,+101.711182
139,11.5833,0.64730876,0.64730876,0.65765469,+0.000000,+103.459326
140,11.6667,0.64525220,0.64525220,0.65577398,-0.000000,+105.217778
141,11.7500,0.64320169,0.64320169,0.65389884,+0.000000,+106.971476
142,11.8333,0.64115721,0.64115721,0.65203062,+0.000000,+108.734103
143,11.9167,0.63911874,0.63911874,0.65017033,+0.000000,+110.515963
144,12.0000,0.63708627,0.63708627,0.64831937,+0.000000,+112.331042
145,12.0833,0.63505978,0.63505978,0.64647890,+0.000000,+114.191281
146,12.1667,0.63303925,0.63303925,0.64464771,+0.000000,+116.084612
147,12.2500,0.63102468,0.63102468,0.64282322,-0.000000,+117.985461
148,12.3333,0.62901603,0.62901603,0.64100534,-0.000000,+119.893050
149,12.4167,0.62701331,0.62701331,0.63919486,-0.000000,+121.815504
150,12.5000,0.62501649,0.62501649,0.63739161,+0.000000,+123.751182
151,12.5833,0.62302555,0.62302555,0.63559552,+0.000000,+125.699725
152,12.6667,0.62104049,0.62104049,0.63380658,+0.000000,+127.660945
153,12.7500,0.61906128,0.61906128,0.63202645,-0.000000,+129.651789
154,12.8333,0.61708790,0.61708790,0.63025623,+0.000000,+131.683257
155,12.9167,0.61512036,0.61512036,0.62849318,-0.000000,+133.728235
156,13.0000,0.61315862,0.61315862,0.62673533,+0.000000,+135.767180
157,13.0833,0.61120267,0.61120267,0.62498382,-0.000000,+137.811554
158,13.1667,0.60925250,0.60925250,0.62324025,+0.000000,+139.877571
159,13.2500,0.60730809,0.60730809,0.62150288,+0.000000,+141.947903
160,13.3333,0.60536942,0.60536942,0.61977073,+0.000000,+144.013039
161,13.4167,0.60343649,0.60343649,0.61804533,+0.000000,+146.088396
162,13.5000,0.60150927,0.60150927,0.61632754,+0.000000,+148.182636
163,13.5833,0.59958776,0.59958776,0.61461753,-0.000000,+150.297781
